crop,season,rainfall,soil_type,land_size,estimated_water_need,risk_level
millets,kharif,moderate,clay,1.97,797.85,Low
sunflower,kharif,high,black,1.83,695.4,Low
sunflower,kharif,moderate,clay,0.6,270.0,Low
groundnut,summer,moderate,clay,2.34,1368.9,Low
vegetables,kharif,moderate,loamy,7.86,4716.0,Medium
soybean,kharif,moderate,loamy,7.68,4608.0,Medium
paddy,summer,moderate,black,5.47,7275.1,High
soybean,summer,moderate,sandy,9.77,7034.4,High
millets,rabi,moderate,black,5.94,2539.35,Low
maize,kharif,moderate,clay,2.76,1738.8,Low
sunflower,summer,moderate,clay,5.09,2290.5,Low
vegetables,summer,high,clay,2.79,1205.28,Low
wheat,kharif,low,black,7.52,7715.52,High
paddy,rabi,high,black,6.44,6852.16,High
paddy,summer,low,black,2.52,4021.92,Medium
sunflower,summer,high,clay,7.94,2858.4,Low
soybean,summer,low,black,6.47,4425.48,Medium
soybean,summer,high,loamy,9.99,4795.2,Medium
soybean,rabi,low,sandy,2.97,2566.08,Low
cotton,summer,moderate,loamy,2.23,2676.0,Low
wheat,rabi,high,clay,3.82,2475.36,Low
maize,rabi,low,black,7.47,5961.06,Medium
sugarcane,summer,moderate,sandy,5.94,12830.4,High
soybean,kharif,low,loamy,1.12,806.4,Low
soybean,kharif,moderate,black,4.81,2741.7,Low
millets,summer,moderate,black,8.62,3685.05,Medium
sugarcane,rabi,high,sandy,5.06,8743.68,High
paddy,summer,low,clay,8.9,13456.8,High
sugarcane,rabi,moderate,clay,3.13,5070.6,Medium
maize,kharif,moderate,clay,9.72,6123.6,High
millets,kharif,moderate,loamy,5.42,2439.0,Low
maize,rabi,high,black,9.9,5266.8,Medium
wheat,rabi,low,clay,5.83,5666.76,Medium
millets,kharif,high,black,1.81,619.02,Low
groundnut,rabi,moderate,loamy,2.63,1709.5,Low
maize,kharif,moderate,clay,7.94,5002.2,Medium
millets,summer,moderate,clay,8.4,3402.0,Medium
sugarcane,summer,moderate,clay,5.29,8569.8,High
cotton,rabi,low,clay,1.04,1347.84,Low
cotton,kharif,moderate,clay,6.95,7506.0,High
vegetables,summer,high,sandy,1.9,1094.4,Low
vegetables,rabi,low,clay,5.97,3868.56,Medium
paddy,kharif,low,clay,2.5,3780.0,Medium
soybean,rabi,moderate,sandy,6.2,4464.0,Medium
maize,rabi,high,clay,4.68,2358.72,Low
soybean,kharif,low,loamy,1.54,1108.8,Low
sunflower,kharif,moderate,black,1.25,593.75,Low
soybean,rabi,high,loamy,7.92,3801.6,Medium
paddy,summer,moderate,loamy,5.68,7952.0,High
maize,summer,moderate,clay,3.71,2337.3,Low
paddy,rabi,moderate,clay,4.14,5216.4,Medium
millets,kharif,low,sandy,2.07,1341.36,Low
soybean,summer,moderate,clay,4.51,2435.4,Low
soybean,summer,moderate,loamy,8.96,5376.0,Medium
vegetables,kharif,low,black,6.05,4138.2,Medium
soybean,summer,low,sandy,4.83,4173.12,Medium
vegetables,summer,moderate,clay,1.47,793.8,Low
wheat,summer,high,clay,3.32,2151.36,Low
cotton,kharif,high,loamy,3.09,2966.4,Low
sugarcane,summer,high,clay,7.63,9888.48,High
millets,rabi,low,sandy,8.48,5495.04,Medium
maize,rabi,moderate,loamy,4.68,3276.0,Medium
sunflower,summer,low,sandy,7.87,5666.4,Medium
millets,kharif,low,loamy,7.26,3920.4,Medium
wheat,rabi,low,loamy,8.86,9568.8,High
cotton,rabi,moderate,sandy,3.23,4651.2,Medium
maize,kharif,moderate,sandy,6.64,5577.6,Medium
paddy,kharif,low,loamy,4.61,7744.8,High
groundnut,rabi,low,clay,1.86,1305.72,Low
vegetables,kharif,low,loamy,2.15,1548.0,Low
soybean,summer,low,clay,4.4,2851.2,Low
millets,kharif,moderate,black,3.95,1688.62,Low
millets,rabi,low,black,8.02,4114.26,Medium
sugarcane,summer,high,black,0.69,943.92,Low
cotton,rabi,low,loamy,1.39,2001.6,Low
vegetables,rabi,moderate,loamy,3.99,2394.0,Low
soybean,summer,high,black,0.74,337.44,Low
millets,summer,moderate,loamy,2.08,936.0,Low
vegetables,kharif,moderate,sandy,6.91,4975.2,Medium
maize,kharif,low,sandy,3.1,3124.8,Medium
sugarcane,rabi,high,loamy,6.49,9345.6,High
sunflower,summer,moderate,clay,3.49,1570.5,Low
cotton,summer,low,loamy,8.43,12139.2,High
sunflower,kharif,high,clay,4.26,1533.6,Low
paddy,rabi,low,clay,3.96,5987.52,Medium
paddy,kharif,high,black,3.12,3319.68,Medium
sunflower,summer,moderate,sandy,0.61,366.0,Low
sugarcane,summer,high,clay,4.35,5637.6,Medium
maize,summer,low,sandy,4.65,4687.2,Medium
wheat,kharif,moderate,loamy,5.26,4734.0,Medium
vegetables,rabi,high,clay,1.22,527.04,Low
vegetables,summer,low,sandy,9.98,8622.72,High
vegetables,rabi,moderate,loamy,5.91,3546.0,Medium
sugarcane,summer,moderate,clay,8.31,13462.2,High
soybean,summer,high,sandy,6.11,3519.36,Medium
paddy,kharif,moderate,sandy,5.24,8803.2,High
vegetables,rabi,low,black,2.31,1580.04,Low
sugarcane,kharif,moderate,clay,8.91,14434.2,High
vegetables,summer,high,sandy,6.44,3709.44,Medium
groundnut,kharif,high,black,3.86,1906.84,Low
sugarcane,rabi,moderate,loamy,3.75,6750.0,High
sugarcane,rabi,high,clay,7.3,9460.8,High
vegetables,summer,moderate,clay,5.08,2743.2,Low
wheat,kharif,moderate,sandy,3.99,4309.2,Medium
soybean,summer,moderate,clay,4.12,2224.8,Low
paddy,summer,moderate,loamy,1.91,2674.0,Low
cotton,rabi,high,sandy,5.57,6416.64,High
groundnut,summer,low,clay,0.61,428.22,Low
sunflower,summer,moderate,clay,0.67,301.5,Low
cotton,kharif,moderate,black,2.88,3283.2,Medium
maize,summer,low,black,3.67,2928.66,Low
groundnut,summer,low,black,3.33,2467.53,Low
sunflower,rabi,moderate,black,5.88,2793.0,Low
soybean,kharif,moderate,loamy,9.3,5580.0,Medium
cotton,rabi,high,loamy,9.03,8668.8,High
groundnut,summer,moderate,sandy,2.01,1567.8,Low
maize,kharif,low,black,9.68,7724.64,High
groundnut,rabi,moderate,clay,9.73,5692.05,Medium
groundnut,summer,low,sandy,2.64,2471.04,Low
sunflower,rabi,moderate,loamy,4.09,2045.0,Low
cotton,summer,high,sandy,3.75,4320.0,Medium
wheat,summer,low,black,9.09,9326.34,High
maize,rabi,low,loamy,6.95,5838.0,Medium
vegetables,rabi,moderate,clay,7.22,3898.8,Medium
wheat,summer,high,loamy,8.62,6206.4,High
paddy,summer,high,sandy,2.98,4005.12,Medium
soybean,summer,moderate,black,6.31,3596.7,Medium
maize,kharif,moderate,loamy,1.59,1113.0,Low
groundnut,rabi,high,sandy,4.78,2982.72,Low
paddy,kharif,high,clay,7.1,7156.8,High
sugarcane,summer,moderate,clay,9.22,14936.4,High
vegetables,kharif,low,sandy,8.53,7369.92,High
groundnut,kharif,moderate,black,0.86,531.05,Low
sunflower,kharif,moderate,sandy,6.95,4170.0,Medium
soybean,kharif,high,sandy,6.14,3536.64,Medium
sunflower,rabi,low,black,4.23,2411.1,Low
maize,summer,high,clay,7.35,3704.4,Medium
maize,summer,low,sandy,7.23,7287.84,High
paddy,rabi,moderate,sandy,9.21,15472.8,High
maize,summer,moderate,loamy,4.0,2800.0,Low
paddy,rabi,low,clay,2.36,3568.32,Medium
sugarcane,kharif,high,black,1.83,2503.44,Low
sunflower,summer,low,loamy,3.21,1926.0,Low
vegetables,summer,high,loamy,1.16,556.8,Low
vegetables,summer,high,loamy,2.09,1003.2,Low
sugarcane,kharif,high,loamy,6.6,9504.0,High
sunflower,rabi,moderate,black,4.85,2303.75,Low
groundnut,rabi,moderate,black,0.59,364.32,Low
cotton,kharif,high,sandy,0.62,714.24,Low
groundnut,rabi,high,clay,3.23,1511.64,Low
millets,summer,low,sandy,6.0,3888.0,Medium
paddy,summer,moderate,sandy,6.95,11676.0,High
sunflower,kharif,low,black,0.93,530.1,Low
paddy,rabi,moderate,loamy,2.49,3486.0,Medium
sugarcane,rabi,moderate,black,6.6,11286.0,High
wheat,rabi,moderate,black,5.63,4813.65,Medium
millets,kharif,low,clay,8.57,4165.02,Medium
vegetables,rabi,high,loamy,2.26,1084.8,Low
maize,kharif,low,clay,9.6,7257.6,High
sunflower,rabi,high,black,5.18,1968.4,Low
wheat,kharif,low,clay,7.36,7153.92,High
groundnut,summer,moderate,sandy,4.95,3861.0,Medium
maize,kharif,high,black,2.05,1090.6,Low
groundnut,kharif,low,clay,0.89,624.78,Low
sugarcane,rabi,low,clay,8.16,15863.04,High
maize,rabi,low,loamy,9.06,7610.4,High
sugarcane,summer,moderate,black,4.71,8054.1,High
cotton,summer,low,sandy,7.74,13374.72,High
sunflower,rabi,high,loamy,9.27,3708.0,Medium
millets,kharif,low,black,4.22,2164.86,Low
vegetables,kharif,low,loamy,2.73,1965.6,Low
wheat,kharif,high,clay,3.84,2488.32,Low
maize,kharif,moderate,clay,8.69,5474.7,Medium
groundnut,rabi,high,sandy,4.24,2645.76,Low
sugarcane,rabi,high,loamy,7.27,10468.8,High
cotton,rabi,high,loamy,6.05,5808.0,Medium
vegetables,kharif,high,loamy,5.93,2846.4,Low
paddy,rabi,high,clay,2.9,2923.2,Low
millets,summer,high,black,7.37,2520.54,Low
vegetables,summer,low,black,5.83,3987.72,Medium
sugarcane,kharif,moderate,black,0.62,1060.2,Low
wheat,rabi,low,clay,6.75,6561.0,High
maize,kharif,moderate,clay,1.91,1203.3,Low
maize,summer,moderate,black,9.75,6483.75,High
vegetables,kharif,high,black,6.44,2936.64,Low
paddy,summer,moderate,loamy,3.16,4424.0,Medium
soybean,rabi,low,clay,5.14,3330.72,Medium
wheat,kharif,low,black,3.9,4001.4,Medium
groundnut,summer,moderate,sandy,2.37,1848.6,Low
millets,rabi,high,black,3.06,1046.52,Low
sunflower,kharif,moderate,clay,7.65,3442.5,Medium
millets,rabi,high,black,2.73,933.66,Low
groundnut,summer,high,loamy,9.88,5137.6,Medium
sugarcane,summer,high,clay,8.57,11106.72,High
cotton,summer,moderate,sandy,2.77,3988.8,Medium
cotton,kharif,low,sandy,8.13,14048.64,High
maize,kharif,moderate,clay,1.52,957.6,Low
vegetables,summer,high,sandy,2.58,1486.08,Low
vegetables,rabi,high,loamy,3.06,1468.8,Low
sugarcane,kharif,low,sandy,7.07,18325.44,High
vegetables,rabi,high,black,3.06,1395.36,Low
maize,summer,low,loamy,3.93,3301.2,Medium
wheat,summer,high,clay,4.52,2928.96,Low
sunflower,rabi,low,loamy,3.24,1944.0,Low
wheat,rabi,high,loamy,8.01,5767.2,Medium
vegetables,summer,moderate,black,6.28,3579.6,Medium
cotton,kharif,high,black,4.23,3857.76,Medium
cotton,rabi,low,sandy,7.91,13668.48,High
paddy,kharif,moderate,black,8.77,11664.1,High
wheat,summer,low,black,5.63,5776.38,Medium
cotton,kharif,low,sandy,5.76,9953.28,High
millets,kharif,high,clay,2.07,670.68,Low
paddy,summer,high,clay,6.2,6249.6,High
groundnut,summer,low,clay,6.25,4387.5,Medium
millets,kharif,high,sandy,4.15,1792.8,Low
soybean,summer,low,clay,1.56,1010.88,Low
vegetables,kharif,high,loamy,7.71,3700.8,Medium
vegetables,rabi,moderate,sandy,4.51,3247.2,Medium
vegetables,rabi,moderate,sandy,6.09,4384.8,Medium
cotton,summer,low,clay,1.78,2306.88,Low
maize,summer,high,clay,3.69,1859.76,Low
maize,kharif,low,sandy,8.45,8517.6,High
sunflower,kharif,moderate,clay,4.04,1818.0,Low
sugarcane,rabi,high,loamy,7.13,10267.2,High
groundnut,rabi,low,black,0.92,681.72,Low
sugarcane,rabi,moderate,black,0.86,1470.6,Low
wheat,summer,high,black,5.25,3591.0,Medium
sunflower,rabi,moderate,sandy,8.97,5382.0,Medium
soybean,kharif,low,clay,4.55,2948.4,Low
maize,kharif,moderate,clay,4.39,2765.7,Low
cotton,rabi,low,clay,5.94,7698.24,High
maize,summer,high,loamy,4.96,2777.6,Low
paddy,kharif,low,sandy,6.72,13547.52,High
wheat,kharif,low,black,7.68,7879.68,High
vegetables,summer,high,loamy,2.03,974.4,Low
maize,kharif,low,sandy,0.8,806.4,Low
millets,kharif,high,black,9.12,3119.04,Medium
paddy,summer,low,sandy,9.36,18869.76,High
wheat,rabi,high,sandy,4.86,4199.04,Medium
sugarcane,kharif,high,black,7.23,9890.64,High
millets,rabi,low,loamy,0.59,318.6,Low
sunflower,kharif,moderate,black,9.78,4645.5,Medium
wheat,kharif,low,black,0.99,1015.74,Low
groundnut,rabi,moderate,loamy,7.92,5148.0,Medium
cotton,rabi,low,clay,6.52,8449.92,High
millets,kharif,low,clay,5.19,2522.34,Low
millets,kharif,low,black,6.23,3195.99,Medium
millets,kharif,moderate,clay,5.13,2077.65,Low
vegetables,summer,low,sandy,6.54,5650.56,Medium
soybean,rabi,low,sandy,7.83,6765.12,High
vegetables,rabi,low,black,0.64,437.76,Low
groundnut,kharif,high,clay,5.96,2789.28,Low
cotton,summer,moderate,clay,4.93,5324.4,Medium
vegetables,rabi,moderate,clay,2.76,1490.4,Low
sugarcane,kharif,moderate,black,1.66,2838.6,Low
millets,summer,high,loamy,8.95,3222.0,Medium
sunflower,summer,high,black,6.08,2310.4,Low
sugarcane,summer,low,clay,2.23,4335.12,Medium
sunflower,rabi,moderate,clay,4.33,1948.5,Low
groundnut,kharif,low,clay,2.28,1600.56,Low
sunflower,summer,high,clay,3.1,1116.0,Low
maize,summer,low,clay,6.93,5239.08,Medium
cotton,rabi,high,sandy,6.94,7994.88,High
paddy,summer,moderate,sandy,6.94,11659.2,High
paddy,rabi,low,sandy,3.18,6410.88,High
vegetables,rabi,moderate,black,0.57,324.9,Low
wheat,kharif,moderate,clay,4.47,3620.7,Medium
millets,rabi,moderate,loamy,7.29,3280.5,Medium
sugarcane,rabi,moderate,loamy,1.75,3150.0,Medium
sugarcane,rabi,high,loamy,1.65,2376.0,Low
vegetables,kharif,low,black,6.35,4343.4,Medium
sunflower,kharif,moderate,sandy,7.05,4230.0,Medium
paddy,summer,moderate,sandy,6.87,11541.6,High
maize,kharif,low,loamy,0.59,495.6,Low
wheat,summer,low,black,7.54,7736.04,High
cotton,kharif,high,sandy,3.56,4101.12,Medium
sunflower,kharif,low,sandy,8.77,6314.4,High
paddy,rabi,low,loamy,3.86,6484.8,High
cotton,kharif,low,loamy,3.66,5270.4,Medium
paddy,rabi,moderate,loamy,3.05,4270.0,Medium
millets,rabi,moderate,clay,0.63,255.15,Low
millets,summer,moderate,sandy,8.6,4644.0,Medium
wheat,rabi,moderate,sandy,8.02,8661.6,High
maize,summer,high,black,6.09,3239.88,Medium
maize,summer,high,black,1.11,590.52,Low
cotton,kharif,low,sandy,6.39,11041.92,High
paddy,rabi,moderate,clay,4.9,6174.0,High
wheat,summer,low,clay,5.32,5171.04,Medium
groundnut,kharif,low,loamy,9.94,7753.2,High
soybean,summer,low,sandy,7.0,6048.0,High
cotton,kharif,low,clay,7.96,10316.16,High
paddy,summer,low,black,5.53,8825.88,High
paddy,kharif,moderate,black,5.44,7235.2,High
soybean,summer,low,sandy,7.94,6860.16,High
maize,kharif,high,sandy,7.24,4865.28,Medium
vegetables,rabi,high,loamy,5.11,2452.8,Low
groundnut,rabi,low,loamy,7.79,6076.2,High
vegetables,kharif,moderate,sandy,6.94,4996.8,Medium
groundnut,rabi,moderate,loamy,9.94,6461.0,High
cotton,rabi,moderate,black,2.49,2838.6,Low
sugarcane,summer,high,clay,6.7,8683.2,High
sunflower,rabi,low,loamy,5.09,3054.0,Medium
maize,summer,moderate,loamy,8.45,5915.0,Medium
millets,rabi,high,clay,7.87,2549.88,Low
maize,summer,moderate,loamy,9.23,6461.0,High
paddy,kharif,moderate,clay,9.0,11340.0,High
wheat,rabi,moderate,loamy,6.44,5796.0,Medium
maize,summer,high,clay,6.4,3225.6,Medium
cotton,kharif,low,sandy,1.72,2972.16,Low
soybean,summer,low,black,0.74,506.16,Low
sugarcane,rabi,high,loamy,7.14,10281.6,High
maize,kharif,low,black,6.96,5554.08,Medium
sunflower,rabi,high,sandy,3.64,1747.2,Low
sugarcane,kharif,low,loamy,4.28,9244.8,High
soybean,kharif,low,loamy,3.66,2635.2,Low
sunflower,rabi,moderate,black,6.3,2992.5,Low
paddy,summer,low,sandy,3.25,6552.0,High
paddy,summer,high,sandy,8.48,11397.12,High
sunflower,rabi,moderate,sandy,8.09,4854.0,Medium
vegetables,rabi,moderate,sandy,5.06,3643.2,Medium
groundnut,summer,high,loamy,1.69,878.8,Low
sunflower,kharif,high,clay,2.21,795.6,Low
millets,summer,low,loamy,6.49,3504.6,Medium
maize,summer,low,clay,2.05,1549.8,Low
sunflower,kharif,moderate,black,1.74,826.5,Low
sunflower,kharif,low,black,0.82,467.4,Low
millets,summer,moderate,clay,5.27,2134.35,Low
sugarcane,rabi,high,black,3.39,4637.52,Medium
maize,summer,moderate,loamy,9.1,6370.0,High
sugarcane,rabi,moderate,clay,3.64,5896.8,Medium
paddy,summer,low,loamy,7.72,12969.6,High
paddy,summer,high,clay,5.29,5332.32,Medium
millets,rabi,low,loamy,3.17,1711.8,Low
millets,summer,low,clay,0.77,374.22,Low
sunflower,summer,high,clay,6.1,2196.0,Low
cotton,rabi,high,sandy,2.39,2753.28,Low
maize,rabi,low,loamy,1.66,1394.4,Low
millets,summer,high,loamy,7.87,2833.2,Low
groundnut,kharif,high,black,9.52,4702.88,Medium
paddy,summer,high,sandy,5.47,7351.68,High
vegetables,summer,moderate,loamy,8.3,4980.0,Medium
wheat,rabi,high,sandy,1.65,1425.6,Low
sugarcane,kharif,moderate,clay,3.99,6463.8,High
paddy,kharif,low,loamy,8.09,13591.2,High
maize,rabi,low,sandy,7.96,8023.68,High
vegetables,rabi,moderate,clay,5.75,3105.0,Medium
cotton,rabi,low,clay,9.42,12208.32,High
groundnut,kharif,low,sandy,5.46,5110.56,Medium
cotton,rabi,high,loamy,8.37,8035.2,High
millets,summer,high,clay,3.01,975.24,Low
paddy,rabi,high,loamy,1.67,1870.4,Low
groundnut,kharif,low,loamy,9.48,7394.4,High
groundnut,summer,moderate,clay,1.02,596.7,Low
sunflower,rabi,high,clay,2.41,867.6,Low
groundnut,summer,low,loamy,7.72,6021.6,High
paddy,kharif,moderate,black,8.69,11557.7,High
vegetables,kharif,high,black,9.75,4446.0,Medium
sunflower,rabi,high,black,5.4,2052.0,Low
maize,rabi,moderate,clay,6.46,4069.8,Medium
millets,summer,low,clay,6.58,3197.88,Medium
sunflower,summer,high,clay,7.2,2592.0,Low
wheat,rabi,low,sandy,2.41,3123.36,Medium
soybean,summer,high,loamy,8.89,4267.2,Medium
sugarcane,rabi,high,sandy,6.27,10834.56,High
millets,summer,moderate,clay,7.2,2916.0,Low
maize,summer,moderate,loamy,8.4,5880.0,Medium
paddy,summer,high,clay,7.26,7318.08,High
paddy,kharif,high,sandy,6.6,8870.4,High
wheat,summer,moderate,loamy,5.94,5346.0,Medium
wheat,summer,low,loamy,6.91,7462.8,High
vegetables,kharif,high,loamy,1.51,724.8,Low
millets,summer,low,loamy,8.72,4708.8,Medium
paddy,rabi,high,clay,4.73,4767.84,Medium
cotton,kharif,moderate,black,6.78,7729.2,High
soybean,summer,moderate,sandy,3.94,2836.8,Low
soybean,rabi,moderate,black,3.53,2012.1,Low
soybean,rabi,moderate,sandy,9.33,6717.6,High
sugarcane,summer,moderate,black,6.57,11234.7,High
groundnut,summer,low,black,5.13,3801.33,Medium
millets,kharif,low,black,4.87,2498.31,Low
maize,rabi,moderate,sandy,1.29,1083.6,Low
sugarcane,rabi,high,sandy,6.38,11024.64,High
millets,rabi,high,clay,2.94,952.56,Low
soybean,summer,moderate,black,4.16,2371.2,Low
cotton,kharif,moderate,black,5.27,6007.8,High
wheat,kharif,moderate,clay,2.63,2130.3,Low
soybean,rabi,high,clay,3.28,1416.96,Low
groundnut,kharif,moderate,clay,1.88,1099.8,Low
paddy,summer,low,black,0.56,893.76,Low
vegetables,kharif,high,loamy,8.26,3964.8,Medium
cotton,kharif,high,clay,3.82,3300.48,Medium
soybean,kharif,low,loamy,8.0,5760.0,Medium
cotton,kharif,high,clay,6.83,5901.12,Medium
cotton,kharif,moderate,black,8.72,9940.8,High
sugarcane,kharif,high,clay,9.24,11975.04,High
vegetables,rabi,moderate,sandy,6.86,4939.2,Medium
wheat,kharif,moderate,loamy,9.0,8100.0,High
cotton,kharif,high,loamy,7.23,6940.8,High
groundnut,rabi,low,loamy,0.66,514.8,Low
cotton,rabi,moderate,loamy,9.9,11880.0,High
vegetables,rabi,low,sandy,2.45,2116.8,Low
millets,rabi,low,loamy,9.9,5346.0,Medium
cotton,rabi,high,black,4.01,3657.12,Medium
sunflower,summer,high,clay,3.23,1162.8,Low
maize,rabi,high,black,4.34,2308.88,Low
millets,summer,high,loamy,3.87,1393.2,Low
paddy,summer,high,sandy,8.36,11235.84,High
groundnut,summer,low,black,6.72,4979.52,Medium
sunflower,summer,high,loamy,7.67,3068.0,Medium
vegetables,kharif,low,sandy,1.75,1512.0,Low
maize,kharif,low,loamy,5.17,4342.8,Medium
sugarcane,kharif,moderate,loamy,6.42,11556.0,High
paddy,rabi,moderate,clay,2.53,3187.8,Medium
paddy,kharif,high,black,4.16,4426.24,Medium
sugarcane,summer,high,black,3.58,4897.44,Medium
sunflower,rabi,moderate,loamy,3.39,1695.0,Low
sunflower,summer,moderate,sandy,5.64,3384.0,Medium
cotton,rabi,high,clay,3.28,2833.92,Low
sugarcane,rabi,high,sandy,3.99,6894.72,High
wheat,kharif,high,black,4.25,2907.0,Low
millets,summer,moderate,black,7.74,3308.85,Medium
cotton,kharif,high,clay,8.46,7309.44,High
paddy,rabi,low,black,9.3,14842.8,High
wheat,kharif,moderate,clay,3.08,2494.8,Low
soybean,rabi,high,loamy,2.52,1209.6,Low
wheat,rabi,high,loamy,6.95,5004.0,Medium
sugarcane,kharif,moderate,loamy,1.44,2592.0,Low
wheat,summer,high,sandy,5.61,4847.04,Medium
cotton,rabi,low,black,2.41,3296.88,Medium
maize,rabi,low,black,1.73,1380.54,Low
maize,kharif,low,clay,8.95,6766.2,High
sunflower,summer,high,clay,1.04,374.4,Low
sunflower,kharif,high,loamy,7.58,3032.0,Medium
maize,rabi,low,sandy,5.63,5675.04,Medium
paddy,summer,moderate,clay,9.65,12159.0,High
wheat,kharif,low,black,9.32,9562.32,High
soybean,summer,moderate,loamy,8.16,4896.0,Medium
wheat,kharif,low,sandy,1.74,2255.04,Low
sugarcane,kharif,high,sandy,2.15,3715.2,Medium
sugarcane,summer,high,clay,1.54,1995.84,Low
soybean,rabi,moderate,sandy,7.94,5716.8,Medium
wheat,rabi,low,black,5.81,5961.06,Medium
sunflower,rabi,low,sandy,8.77,6314.4,High
sugarcane,summer,low,sandy,9.55,24753.6,High
maize,summer,high,sandy,4.59,3084.48,Medium
sugarcane,summer,moderate,clay,6.84,11080.8,High
sunflower,kharif,high,clay,9.1,3276.0,Medium
sunflower,kharif,moderate,sandy,4.12,2472.0,Low
sunflower,summer,high,clay,3.65,1314.0,Low
maize,kharif,high,black,9.02,4798.64,Medium
maize,summer,low,black,1.76,1404.48,Low
sugarcane,kharif,moderate,black,4.47,7643.7,High
cotton,rabi,high,clay,3.17,2738.88,Low
soybean,rabi,high,black,3.75,1710.0,Low
vegetables,summer,moderate,loamy,4.85,2910.0,Low
groundnut,summer,high,sandy,9.25,5772.0,Medium
maize,summer,high,black,5.35,2846.2,Low
cotton,rabi,moderate,sandy,4.78,6883.2,High
wheat,kharif,low,loamy,8.35,9018.0,High
sugarcane,rabi,high,clay,1.57,2034.72,Low
sunflower,rabi,moderate,sandy,6.25,3750.0,Medium
groundnut,kharif,moderate,black,6.97,4303.97,Medium
wheat,rabi,high,sandy,7.32,6324.48,High
soybean,rabi,low,sandy,5.6,4838.4,Medium
groundnut,rabi,low,sandy,4.97,4651.92,Medium
sunflower,rabi,high,black,4.57,1736.6,Low
cotton,summer,low,sandy,1.45,2505.6,Low
groundnut,summer,moderate,sandy,4.67,3642.6,Medium
millets,kharif,moderate,loamy,2.29,1030.5,Low
groundnut,summer,high,black,4.08,2015.52,Low
millets,summer,moderate,loamy,7.34,3303.0,Medium
cotton,summer,moderate,loamy,8.05,9660.0,High
sunflower,summer,moderate,sandy,5.81,3486.0,Medium
cotton,rabi,moderate,sandy,1.87,2692.8,Low
vegetables,rabi,high,clay,3.59,1550.88,Low
sunflower,kharif,moderate,clay,6.79,3055.5,Medium
cotton,summer,low,sandy,9.97,17228.16,High
sugarcane,rabi,high,black,4.07,5567.76,Medium
sugarcane,summer,low,sandy,9.56,24779.52,High
soybean,summer,high,clay,9.02,3896.64,Medium
maize,summer,low,sandy,1.05,1058.4,Low
cotton,rabi,high,clay,1.31,1131.84,Low
wheat,kharif,high,loamy,2.65,1908.0,Low
soybean,rabi,moderate,sandy,7.18,5169.6,Medium
sunflower,kharif,moderate,black,0.92,437.0,Low
paddy,rabi,high,loamy,8.66,9699.2,High
millets,rabi,low,loamy,5.48,2959.2,Low
groundnut,kharif,high,black,3.54,1748.76,Low
paddy,rabi,low,clay,8.97,13562.64,High
vegetables,rabi,moderate,sandy,5.78,4161.6,Medium
vegetables,kharif,moderate,loamy,8.75,5250.0,Medium
sunflower,rabi,high,loamy,0.88,352.0,Low
groundnut,rabi,low,black,7.95,5890.95,Medium
maize,kharif,high,sandy,9.12,6128.64,High
sugarcane,summer,high,loamy,3.84,5529.6,Medium
maize,rabi,low,loamy,1.65,1386.0,Low
millets,rabi,moderate,loamy,6.99,3145.5,Medium
sugarcane,kharif,moderate,sandy,8.93,19288.8,High
groundnut,kharif,moderate,sandy,2.73,2129.4,Low
millets,summer,low,clay,9.41,4573.26,Medium
cotton,rabi,low,loamy,7.91,11390.4,High
cotton,kharif,high,black,4.16,3793.92,Medium
paddy,rabi,low,loamy,8.51,14296.8,High
millets,summer,moderate,black,2.98,1273.95,Low
millets,summer,high,black,3.63,1241.46,Low
groundnut,rabi,high,loamy,5.04,2620.8,Low
cotton,rabi,moderate,clay,1.92,2073.6,Low
sugarcane,kharif,moderate,black,6.97,11918.7,High
soybean,rabi,moderate,clay,1.93,1042.2,Low
sunflower,kharif,high,clay,2.79,1004.4,Low
groundnut,rabi,moderate,clay,2.76,1614.6,Low
millets,kharif,moderate,sandy,0.78,421.2,Low
sunflower,summer,low,clay,2.24,1209.6,Low
vegetables,summer,low,sandy,2.66,2298.24,Low
millets,summer,moderate,loamy,7.63,3433.5,Medium
soybean,rabi,moderate,loamy,8.02,4812.0,Medium
groundnut,summer,moderate,clay,3.82,2234.7,Low
groundnut,kharif,low,sandy,9.77,9144.72,High
sugarcane,rabi,moderate,black,9.98,17065.8,High
sunflower,summer,moderate,black,9.65,4583.75,Medium
paddy,rabi,low,sandy,1.96,3951.36,Medium
groundnut,kharif,low,sandy,7.89,7385.04,High
paddy,summer,low,clay,4.14,6259.68,High
maize,rabi,moderate,clay,3.73,2349.9,Low
maize,kharif,moderate,clay,4.36,2746.8,Low
groundnut,summer,high,loamy,0.93,483.6,Low
cotton,summer,low,loamy,9.56,13766.4,High
sugarcane,rabi,low,sandy,5.87,15215.04,High
cotton,rabi,moderate,clay,3.6,3888.0,Medium
soybean,rabi,high,sandy,4.51,2597.76,Low
millets,rabi,low,clay,8.16,3965.76,Medium
paddy,kharif,moderate,black,2.37,3152.1,Medium
paddy,rabi,low,loamy,3.64,6115.2,High
paddy,rabi,high,loamy,5.49,6148.8,High
wheat,summer,low,black,7.85,8054.1,High
wheat,kharif,high,loamy,0.65,468.0,Low
groundnut,summer,moderate,sandy,9.43,7355.4,High
millets,rabi,high,sandy,2.3,993.6,Low
soybean,summer,moderate,clay,7.04,3801.6,Medium
