water_source,area_type,tds,bacteria_level,turbidity,safety_status
river,semi-urban,158,25,3,Warning
pond,semi-urban,489,10,5,Warning
borewell,urban,1492,85,18,Warning
pond,semi-urban,395,24,19,Unsafe
pond,urban,1454,30,10,Warning
tanker,rural,1055,57,1,Warning
tap,semi-urban,1174,69,3,Safe
pond,urban,479,12,9,Warning
pond,semi-urban,1197,3,11,Warning
tap,urban,775,24,12,Safe
well,urban,230,34,18,Warning
well,urban,1205,5,4,Safe
tap,rural,521,41,18,Safe
pond,rural,1174,81,5,Unsafe
river,semi-urban,171,75,8,Unsafe
well,rural,1182,55,3,Warning
tanker,rural,607,24,12,Warning
borewell,urban,748,7,13,Safe
river,urban,1201,81,1,Unsafe
borewell,semi-urban,356,30,9,Safe
borewell,semi-urban,1441,40,3,Safe
pond,semi-urban,1490,16,19,Unsafe
tanker,semi-urban,715,20,10,Warning
well,rural,1144,73,9,Warning
river,urban,213,93,2,Unsafe
tanker,semi-urban,1374,76,14,Unsafe
well,semi-urban,402,56,3,Warning
well,rural,1475,99,8,Unsafe
tanker,urban,728,60,11,Unsafe
well,semi-urban,565,12,8,Warning
pond,rural,265,12,11,Warning
river,rural,1404,35,1,Warning
tanker,semi-urban,1489,25,5,Warning
river,semi-urban,1309,60,16,Unsafe
tanker,semi-urban,146,71,1,Warning
river,semi-urban,1041,44,1,Warning
tanker,urban,1426,1,3,Warning
borewell,semi-urban,274,2,19,Safe
tanker,rural,1312,84,3,Unsafe
river,urban,351,9,14,Warning
tap,rural,1397,66,17,Warning
well,rural,814,51,3,Warning
borewell,rural,125,26,17,Safe
tap,rural,546,47,7,Safe
tanker,urban,624,68,6,Warning
tanker,urban,980,50,11,Warning
borewell,urban,741,62,15,Warning
tanker,semi-urban,116,63,15,Unsafe
tap,urban,300,93,13,Warning
tap,rural,782,28,17,Safe
borewell,urban,492,41,20,Warning
well,semi-urban,1491,61,20,Unsafe
tanker,rural,888,92,5,Unsafe
borewell,rural,204,50,9,Safe
tanker,semi-urban,202,55,2,Warning
river,urban,724,93,13,Unsafe
borewell,urban,930,75,6,Safe
well,rural,583,95,18,Unsafe
well,semi-urban,804,73,14,Warning
tap,semi-urban,1400,35,6,Safe
pond,urban,812,60,8,Unsafe
tap,rural,848,60,5,Safe
tap,rural,964,65,8,Safe
borewell,semi-urban,1395,12,13,Safe
well,semi-urban,576,33,9,Warning
tanker,urban,1079,25,2,Warning
well,rural,499,59,6,Warning
river,semi-urban,669,64,19,Unsafe
tanker,rural,334,66,6,Warning
tap,rural,1421,84,11,Warning
tanker,semi-urban,1117,72,5,Warning
river,rural,200,32,13,Unsafe
pond,urban,231,78,18,Unsafe
borewell,semi-urban,1097,100,1,Warning
well,urban,1393,77,13,Warning
borewell,urban,1376,43,8,Safe
tap,semi-urban,1021,100,6,Warning
tap,semi-urban,534,17,13,Safe
borewell,urban,1434,40,16,Safe
pond,urban,1001,62,10,Unsafe
tanker,urban,833,70,14,Unsafe
well,urban,954,29,9,Warning
pond,rural,442,82,18,Unsafe
borewell,rural,138,81,1,Safe
river,semi-urban,827,18,12,Warning
well,semi-urban,152,67,17,Warning
river,rural,1450,2,14,Warning
pond,semi-urban,667,84,2,Unsafe
well,semi-urban,220,49,17,Warning
tanker,urban,1255,91,20,Unsafe
tanker,rural,662,30,11,Warning
pond,semi-urban,266,46,11,Unsafe
tanker,semi-urban,117,14,3,Warning
tanker,urban,1268,76,3,Warning
borewell,semi-urban,1490,94,1,Safe
well,semi-urban,1057,37,13,Warning
river,urban,968,89,10,Unsafe
river,rural,1070,12,15,Warning
tap,urban,1270,31,4,Safe
pond,semi-urban,890,43,12,Unsafe
tanker,semi-urban,916,76,18,Unsafe
tanker,rural,1134,47,4,Warning
well,rural,302,66,14,Warning
borewell,rural,798,67,14,Warning
borewell,rural,1222,63,20,Warning
pond,rural,647,29,20,Unsafe
river,rural,816,62,13,Unsafe
pond,urban,1444,10,16,Warning
tanker,rural,851,58,18,Unsafe
tanker,semi-urban,408,45,3,Warning
well,rural,232,58,14,Warning
tap,semi-urban,1476,29,10,Safe
tap,rural,1036,15,10,Safe
tanker,semi-urban,1213,42,15,Warning
borewell,semi-urban,756,18,3,Safe
river,urban,1206,88,8,Unsafe
well,semi-urban,1492,4,6,Warning
tap,urban,457,13,17,Safe
tap,urban,558,27,12,Safe
tanker,semi-urban,1376,94,14,Unsafe
pond,urban,1033,69,18,Unsafe
tap,semi-urban,398,0,16,Safe
tanker,semi-urban,1112,68,2,Warning
tap,semi-urban,1422,16,1,Safe
well,semi-urban,794,44,1,Warning
borewell,semi-urban,653,65,14,Warning
borewell,rural,174,0,16,Safe
pond,rural,1105,53,11,Unsafe
well,urban,419,86,18,Unsafe
tanker,rural,1459,82,14,Unsafe
tanker,semi-urban,930,50,10,Warning
tanker,rural,236,74,12,Unsafe
tanker,rural,632,72,3,Warning
pond,urban,879,70,7,Unsafe
pond,urban,1310,13,1,Warning
river,urban,863,86,17,Unsafe
borewell,rural,889,19,10,Safe
well,semi-urban,686,41,2,Warning
pond,urban,813,82,2,Unsafe
pond,semi-urban,789,74,6,Unsafe
pond,rural,568,100,15,Unsafe
well,urban,1312,31,6,Warning
borewell,urban,1413,6,9,Safe
river,urban,981,61,6,Unsafe
tap,rural,450,70,8,Safe
tap,urban,150,56,11,Safe
well,urban,1220,85,18,Unsafe
well,rural,1085,45,17,Warning
river,rural,301,44,9,Unsafe
borewell,semi-urban,883,78,1,Safe
pond,rural,1282,48,14,Unsafe
borewell,rural,164,67,7,Safe
river,semi-urban,124,13,19,Warning
tap,semi-urban,991,11,17,Safe
pond,urban,907,51,20,Unsafe
tanker,urban,399,43,1,Warning
borewell,semi-urban,177,23,15,Safe
tanker,semi-urban,851,91,15,Unsafe
borewell,rural,745,31,11,Safe
tap,rural,1071,98,4,Safe
river,rural,1312,48,16,Unsafe
tanker,urban,433,66,10,Unsafe
river,rural,450,97,8,Unsafe
river,semi-urban,328,87,20,Unsafe
tanker,semi-urban,534,96,17,Unsafe
borewell,urban,578,72,1,Safe
well,semi-urban,253,82,10,Warning
borewell,urban,664,54,19,Warning
borewell,semi-urban,992,0,11,Safe
well,semi-urban,1094,75,6,Warning
well,urban,519,95,13,Unsafe
borewell,urban,1021,24,12,Safe
well,rural,1142,29,15,Warning
pond,urban,1367,76,15,Unsafe
borewell,urban,1262,37,16,Safe
tanker,rural,1463,1,9,Warning
tanker,rural,760,8,10,Warning
river,rural,831,83,3,Unsafe
well,semi-urban,1103,56,2,Warning
tap,semi-urban,561,0,20,Safe
pond,semi-urban,930,8,1,Warning
well,rural,802,57,4,Warning
borewell,semi-urban,1309,77,14,Warning
river,semi-urban,327,5,14,Warning
river,semi-urban,1384,76,20,Unsafe
well,urban,376,43,11,Warning
borewell,rural,624,34,18,Safe
tanker,semi-urban,538,45,2,Warning
tap,semi-urban,1155,34,13,Safe
tap,urban,252,78,10,Safe
tanker,rural,1495,20,7,Warning
tap,urban,297,48,1,Safe
tap,semi-urban,650,99,1,Safe
borewell,rural,273,88,13,Warning
tap,rural,1456,81,16,Warning
river,rural,663,74,6,Unsafe
pond,urban,562,74,10,Unsafe
well,semi-urban,1419,84,11,Warning
tanker,urban,1291,63,16,Unsafe
river,rural,938,41,15,Unsafe
tap,semi-urban,543,99,14,Warning
tanker,urban,921,65,14,Unsafe
tanker,semi-urban,368,40,14,Warning
tanker,urban,1066,79,13,Unsafe
borewell,urban,1177,32,14,Safe
borewell,semi-urban,544,21,20,Safe
borewell,semi-urban,403,85,4,Safe
pond,semi-urban,312,73,3,Unsafe
river,urban,395,28,7,Warning
well,rural,409,52,16,Warning
borewell,semi-urban,516,52,3,Safe
river,urban,121,19,13,Warning
tap,rural,955,84,19,Warning
tap,semi-urban,1447,81,4,Safe
tap,urban,879,24,12,Safe
well,semi-urban,745,46,7,Warning
tap,rural,1043,84,20,Warning
well,urban,256,38,2,Warning
borewell,semi-urban,613,58,3,Safe
tap,rural,220,74,15,Warning
pond,rural,1445,17,10,Warning
borewell,rural,110,28,2,Safe
pond,rural,575,19,2,Warning
tanker,rural,528,38,8,Warning
well,rural,760,10,18,Warning
borewell,urban,606,45,14,Safe
tanker,urban,1104,19,3,Warning
well,semi-urban,893,76,3,Warning
well,rural,709,76,18,Unsafe
well,semi-urban,1034,36,3,Warning
river,urban,886,11,20,Unsafe
tanker,semi-urban,1295,21,3,Warning
tanker,semi-urban,1173,65,19,Unsafe
borewell,urban,413,13,8,Safe
tap,semi-urban,894,83,13,Warning
well,semi-urban,1363,91,14,Unsafe
tanker,urban,1089,31,20,Unsafe
river,semi-urban,978,62,19,Unsafe
borewell,semi-urban,311,97,9,Warning
borewell,semi-urban,318,41,12,Safe
tap,urban,1376,47,3,Safe
river,rural,1046,68,2,Unsafe
well,urban,1395,83,16,Unsafe
pond,rural,498,79,3,Unsafe
river,semi-urban,971,81,20,Unsafe
well,semi-urban,540,20,9,Warning
borewell,rural,251,48,7,Safe
river,semi-urban,1348,15,3,Warning
pond,urban,303,77,17,Unsafe
borewell,semi-urban,845,51,19,Warning
river,urban,105,66,20,Unsafe
borewell,urban,450,27,11,Safe
borewell,semi-urban,1492,95,12,Warning
pond,rural,1495,71,14,Unsafe
tap,rural,1268,97,19,Warning
well,rural,1491,43,12,Warning
borewell,semi-urban,595,7,6,Safe
borewell,semi-urban,454,34,12,Safe
river,semi-urban,525,45,5,Warning
river,rural,872,65,17,Unsafe
river,rural,352,22,20,Unsafe
tap,urban,313,38,12,Safe
well,semi-urban,243,63,5,Warning
tap,semi-urban,606,17,16,Safe
well,urban,517,79,7,Warning
pond,rural,1381,29,15,Unsafe
river,semi-urban,1184,52,19,Unsafe
borewell,rural,1136,90,12,Warning
river,semi-urban,679,42,3,Warning
tap,semi-urban,741,17,12,Safe
river,urban,1287,40,9,Warning
borewell,urban,607,67,15,Warning
river,rural,1252,87,9,Unsafe
tanker,urban,1479,72,16,Unsafe
tap,rural,326,0,11,Safe
river,urban,1425,66,14,Unsafe
tanker,semi-urban,1446,29,15,Warning
tanker,rural,910,87,12,Unsafe
pond,rural,304,43,14,Unsafe
tap,semi-urban,294,49,7,Safe
tap,semi-urban,1154,56,2,Safe
well,semi-urban,534,6,7,Warning
river,rural,1039,30,15,Unsafe
tanker,semi-urban,1147,30,18,Warning
well,urban,180,28,12,Warning
pond,semi-urban,1407,76,10,Unsafe
tanker,urban,131,6,20,Warning
tap,semi-urban,1475,32,17,Safe
pond,semi-urban,328,56,6,Unsafe
river,semi-urban,822,44,4,Warning
tanker,urban,776,62,16,Unsafe
tanker,rural,1065,68,9,Unsafe
river,rural,939,17,5,Warning
river,urban,925,42,18,Unsafe
tanker,urban,548,36,12,Warning
borewell,rural,1078,80,9,Warning
tap,urban,1201,19,4,Safe
tanker,urban,1336,40,14,Warning
pond,semi-urban,638,91,13,Unsafe
river,urban,556,67,1,Warning
tanker,semi-urban,1432,96,16,Unsafe
borewell,semi-urban,588,12,6,Safe
river,rural,903,2,10,Warning
tap,semi-urban,748,16,17,Safe
river,rural,522,56,16,Unsafe
pond,rural,223,97,17,Unsafe
tap,semi-urban,694,65,3,Safe
river,urban,813,24,6,Warning
well,rural,935,31,16,Warning
well,urban,1341,0,18,Warning
borewell,rural,312,62,15,Warning
river,semi-urban,378,79,19,Unsafe
tanker,rural,488,30,1,Warning
well,semi-urban,922,100,14,Unsafe
tanker,semi-urban,1175,93,4,Unsafe
tanker,semi-urban,785,71,9,Unsafe
tap,rural,179,82,3,Safe
river,semi-urban,719,51,15,Unsafe
tanker,urban,690,8,14,Warning
tap,urban,926,6,14,Safe
pond,urban,386,75,12,Unsafe
tap,rural,580,98,2,Safe
borewell,urban,932,93,12,Warning
well,urban,939,46,7,Warning
pond,rural,188,28,14,Unsafe
tanker,urban,523,52,7,Warning
well,semi-urban,285,67,15,Warning
well,urban,1434,78,15,Unsafe
tap,urban,1186,52,15,Safe
river,semi-urban,1488,6,3,Warning
tap,rural,206,69,12,Safe
borewell,rural,394,91,18,Warning
river,semi-urban,782,9,7,Warning
tanker,urban,1202,64,17,Unsafe
pond,semi-urban,569,18,16,Unsafe
borewell,urban,142,77,16,Warning
river,urban,1178,86,19,Unsafe
borewell,semi-urban,1447,59,7,Safe
borewell,rural,839,62,9,Safe
river,rural,1001,81,7,Unsafe
borewell,semi-urban,192,76,16,Warning
river,semi-urban,621,23,13,Warning
well,rural,1455,99,15,Unsafe
tanker,rural,1017,67,9,Unsafe
borewell,rural,916,31,2,Safe
well,rural,336,75,14,Warning
tanker,semi-urban,870,88,10,Unsafe
pond,urban,817,100,16,Unsafe
borewell,semi-urban,1462,19,18,Safe
tap,rural,764,4,15,Safe
river,urban,680,19,9,Warning
tanker,urban,635,0,11,Warning
tap,urban,670,99,14,Warning
tanker,urban,254,63,14,Unsafe
well,urban,1170,71,18,Unsafe
pond,urban,1348,80,18,Unsafe
river,rural,278,86,2,Unsafe
river,semi-urban,1229,99,6,Unsafe
pond,semi-urban,1237,50,14,Unsafe
well,semi-urban,989,33,17,Warning
tanker,urban,1109,73,2,Warning
tap,semi-urban,291,3,9,Safe
pond,semi-urban,982,25,17,Unsafe
tanker,semi-urban,495,38,4,Warning
well,semi-urban,801,17,5,Warning
tanker,urban,405,48,15,Unsafe
river,urban,900,90,19,Unsafe
tanker,urban,117,68,1,Warning
river,semi-urban,333,42,17,Unsafe
tanker,semi-urban,1084,90,19,Unsafe
tanker,rural,1393,94,14,Unsafe
well,rural,1312,11,16,Warning
river,rural,222,38,13,Unsafe
tanker,rural,293,93,12,Unsafe
well,semi-urban,922,21,14,Warning
river,semi-urban,384,63,5,Unsafe
tanker,rural,1113,68,19,Unsafe
pond,semi-urban,1079,24,17,Unsafe
river,urban,1272,87,10,Unsafe
tap,semi-urban,460,72,17,Warning
pond,urban,232,14,11,Warning
tanker,rural,277,72,20,Unsafe
tap,rural,955,53,13,Safe
tap,semi-urban,1218,20,9,Safe
tap,rural,705,78,1,Safe
river,urban,1461,3,3,Warning
pond,rural,1200,47,15,Unsafe
river,urban,1417,87,13,Unsafe
well,urban,872,48,2,Warning
tap,rural,553,34,13,Safe
pond,rural,1426,39,3,Warning
well,rural,1100,76,15,Unsafe
river,urban,764,99,3,Unsafe
tanker,urban,433,53,20,Unsafe
well,urban,699,25,9,Warning
pond,semi-urban,1373,54,12,Unsafe
well,rural,391,95,18,Unsafe
tanker,semi-urban,221,20,4,Warning
tap,urban,1497,97,5,Warning
tanker,rural,912,54,10,Warning
borewell,urban,888,53,1,Safe
pond,semi-urban,299,43,13,Unsafe
well,urban,878,10,9,Warning
river,rural,650,15,12,Warning
tap,rural,1263,70,6,Safe
tanker,urban,644,7,17,Warning
river,semi-urban,149,60,12,Unsafe
pond,semi-urban,1243,2,5,Warning
borewell,semi-urban,141,97,13,Warning
pond,rural,109,66,18,Unsafe
tap,semi-urban,1415,58,8,Safe
well,semi-urban,570,75,15,Warning
pond,rural,1269,89,8,Unsafe
river,rural,1159,15,17,Warning
tap,rural,195,15,11,Safe
tap,semi-urban,217,54,20,Warning
tanker,urban,690,74,4,Warning
well,semi-urban,917,40,20,Warning
well,urban,1442,100,3,Warning
river,rural,727,71,6,Unsafe
well,semi-urban,471,39,6,Warning
pond,urban,1380,76,14,Unsafe
well,rural,434,89,10,Warning
pond,semi-urban,618,18,10,Warning
well,rural,1214,35,15,Warning
river,semi-urban,1309,33,16,Unsafe
pond,rural,164,95,2,Unsafe
tap,semi-urban,272,21,12,Safe
river,urban,928,100,10,Unsafe
pond,rural,650,24,16,Unsafe
pond,semi-urban,785,51,14,Unsafe
river,semi-urban,1028,19,18,Unsafe
well,semi-urban,982,6,18,Warning
river,urban,109,79,14,Unsafe
well,urban,142,5,12,Warning
tanker,rural,888,75,17,Unsafe
well,rural,572,56,15,Warning
well,semi-urban,1447,32,18,Warning
tap,semi-urban,177,40,10,Safe
pond,urban,105,39,15,Unsafe
tap,urban,300,64,14,Safe
tanker,urban,1479,43,3,Warning
well,semi-urban,1162,21,6,Warning
tanker,urban,505,18,13,Warning
tanker,urban,1094,67,9,Unsafe
well,urban,734,83,3,Warning
tanker,rural,1092,12,20,Warning
tap,semi-urban,594,23,4,Safe
tanker,semi-urban,1041,69,4,Warning
pond,rural,378,19,10,Warning
well,rural,1193,100,3,Warning
pond,semi-urban,297,24,15,Unsafe
pond,semi-urban,970,4,19,Unsafe
pond,rural,1131,86,1,Unsafe
tap,rural,1425,18,5,Safe
tanker,rural,1170,52,19,Unsafe
pond,rural,785,35,4,Warning
borewell,urban,1016,28,18,Safe
well,semi-urban,480,74,4,Warning
tap,semi-urban,1431,93,19,Warning
river,rural,347,59,19,Unsafe
borewell,urban,1017,89,8,Warning
river,urban,496,11,18,Warning
river,rural,778,15,8,Warning
well,urban,103,69,17,Warning
river,semi-urban,1258,44,17,Unsafe
well,semi-urban,1073,37,9,Warning
well,semi-urban,895,29,14,Warning
tanker,semi-urban,952,60,6,Warning
pond,rural,596,22,9,Warning
tap,semi-urban,1318,85,16,Warning
river,semi-urban,1045,71,3,Unsafe
river,urban,493,37,6,Warning
pond,semi-urban,596,11,10,Warning
tap,rural,617,66,4,Safe
well,rural,322,76,13,Warning
river,semi-urban,1416,26,7,Warning
pond,urban,615,43,18,Unsafe
tap,urban,502,70,8,Safe
pond,semi-urban,996,86,5,Unsafe
pond,semi-urban,510,70,11,Unsafe
pond,urban,1277,32,3,Warning
pond,urban,1391,27,2,Warning
tap,rural,1152,98,8,Warning
tanker,rural,1472,28,16,Warning
pond,semi-urban,153,72,20,Unsafe
river,urban,1287,38,2,Warning
pond,urban,1469,49,5,Unsafe
pond,urban,295,32,6,Warning
tanker,semi-urban,320,7,11,Warning
well,rural,1295,73,10,Warning
well,semi-urban,984,11,20,Warning
tanker,semi-urban,358,91,10,Unsafe
borewell,urban,106,80,19,Warning
river,semi-urban,951,62,10,Unsafe
pond,semi-urban,1407,8,10,Warning
borewell,semi-urban,761,55,4,Safe
river,rural,282,56,2,Warning
borewell,rural,201,88,9,Warning
borewell,urban,855,89,8,Warning
pond,rural,568,39,15,Unsafe
well,rural,513,69,8,Warning
pond,rural,1464,36,7,Warning
pond,urban,834,54,15,Unsafe
tanker,semi-urban,958,39,7,Warning
well,semi-urban,104,2,3,Safe
borewell,semi-urban,1269,11,10,Safe
tap,semi-urban,288,61,5,Safe
tanker,urban,1238,52,10,Warning
tanker,semi-urban,733,53,20,Unsafe
well,rural,896,58,7,Warning
pond,rural,857,28,19,Unsafe
pond,rural,815,71,18,Unsafe
well,urban,1493,47,13,Warning
pond,urban,197,22,3,Warning
borewell,semi-urban,1021,22,13,Safe
tanker,rural,360,100,10,Unsafe
tanker,rural,1295,40,1,Warning
well,semi-urban,318,4,4,Safe
river,urban,1426,96,11,Unsafe
pond,rural,941,34,9,Unsafe
river,rural,742,32,14,Unsafe
borewell,urban,1495,100,19,Warning
well,semi-urban,631,18,3,Warning
pond,rural,1422,66,5,Unsafe
tanker,urban,1354,80,12,Unsafe
tap,rural,604,46,17,Safe
well,rural,638,54,8,Warning
tanker,rural,301,68,9,Unsafe
pond,semi-urban,1375,26,1,Warning
borewell,urban,679,88,16,Warning
tap,semi-urban,1221,21,14,Safe
tap,rural,710,87,5,Safe
borewell,urban,765,89,17,Warning
well,urban,561,83,19,Unsafe
borewell,urban,210,3,13,Safe
borewell,urban,988,67,1,Safe
pond,rural,568,42,20,Unsafe
pond,rural,865,8,1,Warning
well,semi-urban,969,46,9,Warning
pond,rural,906,16,16,Unsafe
tanker,urban,1402,30,17,Warning
river,rural,382,8,8,Warning
well,semi-urban,544,12,19,Warning
river,semi-urban,1492,95,17,Unsafe
borewell,semi-urban,468,42,1,Safe
tanker,rural,1173,69,8,Unsafe
tanker,semi-urban,1392,82,3,Unsafe
borewell,semi-urban,689,92,18,Warning
river,semi-urban,331,98,12,Unsafe
pond,semi-urban,1416,42,6,Warning
pond,semi-urban,359,69,17,Unsafe
tap,urban,1006,63,1,Safe
borewell,semi-urban,1321,50,3,Safe
pond,urban,1195,82,12,Unsafe
well,rural,384,94,6,Warning
borewell,urban,376,8,14,Safe
pond,rural,684,45,4,Warning
pond,urban,777,71,13,Unsafe
river,urban,1392,22,17,Unsafe
tap,rural,1213,9,5,Safe
pond,rural,730,30,14,Unsafe
well,urban,242,0,16,Warning
river,semi-urban,1114,21,10,Warning
river,semi-urban,198,99,10,Unsafe
tanker,rural,853,19,15,Warning
tap,rural,1267,84,13,Warning
pond,rural,798,93,4,Unsafe
river,rural,1325,96,15,Unsafe
tanker,semi-urban,640,5,20,Warning
pond,urban,1382,89,4,Unsafe
well,semi-urban,1252,87,7,Warning
borewell,rural,1219,21,3,Safe
pond,semi-urban,502,36,4,Warning
tap,semi-urban,405,38,20,Safe
river,rural,773,99,3,Unsafe
pond,semi-urban,916,82,16,Unsafe
river,urban,998,75,11,Unsafe
river,urban,774,52,10,Unsafe
river,rural,516,99,18,Unsafe
pond,semi-urban,912,79,4,Unsafe
well,urban,1470,6,15,Warning
tap,semi-urban,1465,7,10,Safe
tap,urban,555,63,12,Safe
river,semi-urban,644,46,18,Unsafe
tap,urban,1410,52,11,Safe
pond,urban,314,36,2,Warning
tap,rural,1158,69,15,Warning
well,rural,822,58,6,Warning
pond,rural,414,50,16,Unsafe
tap,urban,1016,31,10,Safe
tap,semi-urban,1293,50,18,Safe
well,urban,292,19,3,Warning
tanker,rural,211,17,8,Warning
borewell,rural,445,79,16,Warning
pond,rural,356,66,16,Unsafe
well,semi-urban,899,87,13,Unsafe
pond,rural,832,58,10,Unsafe
well,rural,842,15,1,Safe
tanker,semi-urban,168,39,20,Unsafe
tap,semi-urban,982,39,8,Safe
river,semi-urban,545,16,2,Warning
well,rural,1219,35,19,Warning
borewell,urban,1344,96,17,Warning
borewell,rural,499,65,3,Safe
tap,semi-urban,488,62,11,Safe
well,urban,284,54,20,Warning
borewell,semi-urban,174,26,7,Safe
well,semi-urban,318,66,17,Warning
tanker,urban,1182,26,18,Warning
well,urban,586,48,19,Warning
borewell,rural,310,41,1,Safe
tanker,semi-urban,851,12,17,Warning
tanker,rural,793,61,11,Unsafe
tanker,rural,1061,91,12,Unsafe
borewell,semi-urban,548,46,16,Safe
well,semi-urban,567,29,9,Warning
well,rural,376,66,14,Warning
river,semi-urban,758,15,10,Warning
pond,semi-urban,1094,93,8,Unsafe
pond,rural,287,3,7,Warning
borewell,rural,708,26,17,Safe
pond,urban,943,48,2,Warning
tanker,urban,1102,61,1,Warning
river,rural,351,17,17,Warning
well,rural,288,85,15,Unsafe
borewell,semi-urban,1433,73,1,Safe
tap,semi-urban,624,47,5,Safe
pond,urban,1249,35,11,Unsafe
pond,rural,1365,36,8,Warning
tap,rural,833,5,17,Safe
well,semi-urban,661,29,12,Warning
pond,rural,1393,34,19,Unsafe
river,urban,1097,2,13,Warning
borewell,rural,257,91,5,Warning
well,urban,1092,51,7,Warning
tanker,urban,397,32,12,Warning
tap,semi-urban,824,88,17,Warning
tanker,urban,1426,80,14,Unsafe
well,rural,173,45,18,Warning
river,semi-urban,819,57,18,Unsafe
river,semi-urban,974,97,4,Unsafe
tap,urban,214,29,11,Safe
well,semi-urban,424,61,15,Warning
well,urban,587,54,13,Warning
river,semi-urban,275,78,17,Unsafe
tap,semi-urban,360,87,17,Warning
river,urban,878,37,1,Warning
pond,rural,225,84,2,Unsafe
tanker,rural,733,51,2,Warning
tanker,urban,1071,89,11,Unsafe
tap,urban,972,25,13,Safe
well,semi-urban,694,10,7,Warning
well,semi-urban,401,74,13,Warning
tap,rural,994,38,8,Safe
well,semi-urban,564,25,16,Warning
tanker,rural,1222,86,13,Unsafe
tanker,semi-urban,370,45,20,Unsafe
tap,semi-urban,208,28,17,Safe
pond,rural,391,4,19,Unsafe
pond,rural,409,17,17,Unsafe
tanker,urban,407,41,20,Unsafe
well,rural,1400,4,7,Warning
tanker,semi-urban,398,49,1,Warning
pond,semi-urban,1290,51,18,Unsafe
river,urban,544,18,9,Warning
pond,urban,995,88,14,Unsafe
well,semi-urban,626,53,8,Warning
tanker,urban,404,72,13,Unsafe
tap,rural,115,80,11,Warning
tanker,semi-urban,979,53,3,Warning
tap,semi-urban,319,93,5,Safe
tap,urban,869,33,7,Safe
well,rural,873,17,16,Warning
river,urban,171,63,20,Unsafe
river,semi-urban,287,61,16,Unsafe
pond,urban,182,15,8,Warning
borewell,semi-urban,633,43,8,Safe
tanker,urban,1005,44,4,Warning
well,urban,991,1,11,Warning
river,semi-urban,1376,7,12,Warning
tanker,urban,114,29,13,Warning
tanker,urban,1216,79,17,Unsafe
well,rural,469,87,4,Warning
well,urban,137,38,3,Warning
tanker,rural,384,1,15,Warning
well,rural,460,67,13,Warning
borewell,urban,1085,35,3,Safe
pond,semi-urban,656,44,14,Unsafe
pond,semi-urban,617,79,12,Unsafe
pond,urban,1130,13,7,Warning
tanker,rural,1352,38,19,Unsafe
tanker,semi-urban,612,54,20,Unsafe
borewell,semi-urban,342,56,16,Warning
pond,semi-urban,203,51,15,Unsafe
tanker,rural,596,99,10,Unsafe
tanker,urban,1321,18,14,Warning
pond,semi-urban,596,11,18,Unsafe
borewell,rural,220,94,5,Warning
pond,urban,213,16,2,Warning
river,semi-urban,865,16,19,Unsafe
well,rural,799,15,15,Warning
river,semi-urban,1062,93,8,Unsafe
pond,urban,833,51,4,Unsafe
borewell,rural,696,62,17,Warning
borewell,semi-urban,258,51,4,Safe
tanker,urban,340,66,17,Unsafe
well,urban,1217,35,3,Warning
tap,rural,465,75,9,Safe
pond,rural,966,2,20,Unsafe
tap,semi-urban,1155,60,19,Warning
pond,urban,538,58,18,Unsafe
pond,urban,1156,83,16,Unsafe
well,urban,501,34,18,Warning
tanker,urban,389,76,9,Unsafe
pond,semi-urban,1311,63,19,Unsafe
well,semi-urban,332,72,20,Unsafe
river,rural,1470,3,19,Warning
river,semi-urban,509,58,10,Unsafe
river,urban,1351,24,12,Warning
tanker,urban,143,13,11,Warning
river,semi-urban,452,94,13,Unsafe
well,rural,1439,76,15,Unsafe
borewell,semi-urban,1252,56,7,Safe
well,semi-urban,465,8,20,Warning
borewell,rural,1201,61,3,Safe
pond,rural,1326,73,1,Unsafe
river,rural,1491,22,17,Unsafe
tap,semi-urban,1221,53,7,Safe
tanker,urban,595,100,3,Unsafe
tanker,rural,259,55,19,Unsafe
tanker,urban,1004,43,6,Warning
tanker,urban,228,45,1,Warning
tap,urban,754,69,20,Warning
tap,rural,189,96,20,Warning
pond,rural,807,39,19,Unsafe
borewell,urban,1094,43,16,Safe
river,rural,148,47,7,Warning
tanker,urban,980,48,2,Warning
well,urban,362,83,12,Warning
tanker,urban,906,72,8,Unsafe
river,rural,1368,34,10,Warning
river,urban,1390,15,20,Unsafe
tanker,rural,342,44,1,Warning
river,urban,772,49,17,Unsafe
pond,urban,520,31,3,Warning
borewell,rural,197,14,15,Safe
well,urban,940,79,19,Unsafe
river,urban,809,75,1,Unsafe
pond,urban,189,32,8,Warning
pond,rural,190,97,9,Unsafe
borewell,urban,373,13,15,Safe
well,urban,495,19,14,Warning
borewell,semi-urban,330,79,19,Warning
tap,urban,1015,35,9,Safe
borewell,urban,477,61,2,Safe
tanker,urban,887,46,2,Warning
tap,rural,586,91,3,Safe
borewell,rural,437,68,12,Warning
pond,rural,1316,32,7,Warning
pond,rural,421,27,17,Unsafe
tanker,rural,758,98,12,Unsafe
tap,urban,831,96,10,Warning
tanker,urban,1126,34,20,Unsafe
tap,urban,1168,74,3,Safe
borewell,rural,832,10,7,Safe
river,urban,1239,48,7,Warning
tanker,rural,1430,66,12,Unsafe
river,rural,348,57,20,Unsafe
well,urban,1081,93,9,Warning
tap,rural,361,61,10,Safe
river,rural,1316,57,9,Unsafe
